type,n,algo,time_us,char_cmp
almost,400,radix+qs,643.56,2782
almost,500,std::sort,653.71,7409
almost,500,stable_sort,980.72,4629
almost,500,ternary_qs,875.03,4922
almost,500,lcp_merge,1379.96,4608
almost,500,msd_radix,478.62,2000
almost,500,radix+qs,800.6,3417
almost,600,std::sort,868.5,10758
almost,600,stable_sort,1143.32,5695
almost,600,ternary_qs,1168.27,6895
almost,600,lcp_merge,1684.37,5339
almost,600,msd_radix,578.7,2386
almost,600,radix+qs,978.77,4251
almost,700,std::sort,1034.13,12592
almost,700,stable_sort,1459.49,7846
almost,700,ternary_qs,1490.66,9024
almost,700,lcp_merge,2039.44,6835
almost,700,msd_radix,669.7,2800
almost,700,radix+qs,1138.4,4771
almost,800,std::sort,1194.91,14379
almost,800,stable_sort,1640.95,8457
almost,800,ternary_qs,1845.58,11470
almost,800,lcp_merge,2348.14,7803
almost,800,msd_radix,766.02,3194
almost,800,radix+qs,1308.63,5594
almost,900,std::sort,1388.82,16776
almost,900,stable_sort,1783.19,10313
almost,900,ternary_qs,2239.08,14259
almost,900,lcp_merge,2729.84,9406
almost,900,msd_radix,1221.84,3570
almost,900,radix+qs,1440.22,6055
almost,1000,std::sort,1444.72,17410
almost,1000,stable_sort,2054.26,11005
almost,1000,ternary_qs,2663.43,17481
almost,1000,lcp_merge,3047.77,10426
almost,1000,msd_radix,960.28,4000
almost,1000,radix+qs,1648.39,6969
almost,1100,std::sort,1739.39,22332
almost,1100,stable_sort,2580.17,13377
almost,1100,ternary_qs,3100.6,20628
almost,1100,lcp_merge,3405.16,11539
almost,1100,msd_radix,1064.69,4374
almost,1100,radix+qs,1793.42,7578
almost,1200,std::sort,1896.56,24010
almost,1200,stable_sort,2826.68,14813
almost,1200,ternary_qs,3622.72,24418
almost,1200,lcp_merge,3758.26,12681
almost,1200,msd_radix,1171.13,4800
almost,1200,radix+qs,1983.39,8281
almost,1300,std::sort,2042.5,25735
almost,1300,stable_sort,3074.86,16049
almost,1300,ternary_qs,4104.58,28103
almost,1300,lcp_merge,4116.68,13866
almost,1300,msd_radix,1263.85,5184
almost,1300,radix+qs,2143.83,9177
almost,1400,std::sort,2218.92,27827
almost,1400,stable_sort,3260.61,16771
almost,1400,ternary_qs,4422.37,30202
almost,1400,lcp_merge,4488.37,15152
almost,1400,msd_radix,1356.56,5600
almost,1400,radix+qs,2421.83,9967
almost,1500,std::sort,2396.88,30111
almost,1500,stable_sort,3542.63,18278
almost,1500,ternary_qs,4222.73,27810
almost,1500,lcp_merge,4846.75,16280
almost,1500,msd_radix,1458.74,6000
almost,1500,radix+qs,2441.04,10395
almost,1600,std::sort,2484.25,31214
almost,1600,stable_sort,3838.13,19590
almost,1600,ternary_qs,5749.35,40342
almost,1600,lcp_merge,5208.51,17518
almost,1600,msd_radix,1559.88,6388
almost,1600,radix+qs,2626.31,11205
almost,1700,std::sort,2737.89,34257
almost,1700,stable_sort,4077.17,21514
almost,1700,ternary_qs,6339.45,44716
almost,1700,lcp_merge,5601.79,18842
almost,1700,msd_radix,1670.61,6800
almost,1700,radix+qs,2788.29,11774
almost,1800,std::sort,2858.61,35845
almost,1800,stable_sort,4321.56,22679
almost,1800,ternary_qs,5331.52,35389
almost,1800,lcp_merge,5958.4,20244
almost,1800,msd_radix,1765.81,7200
almost,1800,radix+qs,2916.27,12322
almost,1900,std::sort,3540.8,44067
almost,1900,stable_sort,4625.73,24948
almost,1900,ternary_qs,7605.95,54174
almost,1900,lcp_merge,6386.68,21834
almost,1900,msd_radix,1865.3,7594
almost,1900,radix+qs,3110.46,13389
almost,2000,std::sort,3213.14,40422
almost,2000,stable_sort,4753.37,25274
almost,2000,ternary_qs,8213.04,58817
almost,2000,lcp_merge,6678.23,22698
almost,2000,msd_radix,1968.87,8000
almost,2000,radix+qs,3268.89,13646
almost,2100,std::sort,3502.13,43487
almost,2100,stable_sort,5303.05,29807
almost,2100,ternary_qs,7375.03,50395
almost,2100,lcp_merge,7181.1,24759
almost,2100,msd_radix,2067.11,8400
almost,2100,radix+qs,3445.82,14437
almost,2200,std::sort,3876.97,49715
almost,2200,stable_sort,5387.67,29923
almost,2200,ternary_qs,9596.27,68877
almost,2200,lcp_merge,7520.81,25136
almost,2200,msd_radix,2189.02,8800
almost,2200,radix+qs,3644.87,15603
almost,2300,std::sort,3957.81,51027
almost,2300,stable_sort,5707.77,32127
almost,2300,ternary_qs,8749.39,60498
almost,2300,lcp_merge,7925.12,26915
almost,2300,msd_radix,2277.79,9200
almost,2300,radix+qs,6351.57,16185
almost,2400,std::sort,4890.65,53510
almost,2400,stable_sort,5921.42,32936
almost,2400,ternary_qs,11121.6,79369
almost,2400,lcp_merge,8245.2,27867
almost,2400,msd_radix,2357.18,9600
almost,2400,radix+qs,3908,16602
almost,2500,std::sort,4172.42,54808
almost,2500,stable_sort,6108.05,33793
almost,2500,ternary_qs,10959.1,78878
almost,2500,lcp_merge,8615.43,29223
almost,2500,msd_radix,2456.75,9982
almost,2500,radix+qs,4054.58,17116
almost,2600,std::sort,4422.49,56986
almost,2600,stable_sort,6418.73,36243
almost,2600,ternary_qs,10133.3,71040
almost,2600,lcp_merge,9043.17,30650
almost,2600,msd_radix,2588.19,10400
almost,2600,radix+qs,4274.43,17901
almost,2700,std::sort,4976.01,61857
almost,2700,stable_sort,6621.51,36654
almost,2700,ternary_qs,11860,85422
almost,2700,lcp_merge,9407.35,31409
almost,2700,msd_radix,2668.47,10800
almost,2700,radix+qs,4360.11,18421
almost,2800,std::sort,5034.5,63455
almost,2800,stable_sort,6887.62,38125
almost,2800,ternary_qs,14063.1,103088
almost,2800,lcp_merge,9816.36,32748
almost,2800,msd_radix,2772.47,11192
almost,2800,radix+qs,4597.59,19440
almost,2900,std::sort,5118.35,66269
almost,2900,stable_sort,7121.26,38893
almost,2900,ternary_qs,11643.1,82788
almost,2900,lcp_merge,10188.4,33999
almost,2900,msd_radix,2868.87,11600
almost,2900,radix+qs,4735.68,20074
almost,3000,std::sort,5303.55,68438
almost,3000,stable_sort,7407.66,41278
almost,3000,ternary_qs,14832.5,108194
almost,3000,lcp_merge,10660.2,36209
almost,3000,msd_radix,2976.43,12000
almost,3000,radix+qs,4920.18,20716
